RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,CON,1,12,1,1,1,0.923,1,--,1,8-1,1,7-1,1,5-0,1,W3,1,9-1
2,NYL,2,12,2,2,2,0.857,2,0.5,2,9-1,2,6-1,2,6-1,2,W8,2,8-2
3,MIN,3,10,3,3,3,0.769,3,2,3,8-2,3,6-1,3,4-2,3,W3,3,8-2
4,SEA,4,9,4,5,4,0.643,4,3.5,4,4-4,4,4-1,4,5-4,4,L1,4,8-2
5,PHO,5,7,5,7,5,0.500,5,5.5,5,5-5,5,5-2,5,2-5,5,W1,5,4-6
6,LVA,6,6,6,6,6,0.500,6,5.5,6,5-4,6,3-4,6,3-2,6,L1,6,4-6
7,ATL,7,6,7,6,7,0.500,7,5.5,7,2-4,7,3-4,7,3-2,7,W1,7,5-5
8,IND,8,5,8,10,8,0.333,8,8,8,4-6,8,3-4,8,2-6,8,W2,8,5-5
9,CHI,9,4,9,9,9,0.308,9,8,9,2-7,9,1-5,9,3-4,9,L4,9,2-8
10,LAS,10,4,10,10,10,0.286,10,8.5,10,2-6,10,3-4,10,1-6,10,L3,10,3-7
11,DAL,11,3,11,9,11,0.250,11,8.5,11,2-5,11,1-5,11,2-4,11,L7,11,2-8
12,WAS,12,2,12,12,12,0.143,12,10.5,12,2-8,12,1-5,12,1-7,12,W2,12,2-8
